t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1651240361,1361,976,21.645914,0,60.514470,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240391,1363,976,21.655642,0,60.512434,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240421,1364,976,21.667315,0,60.510183,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240451,1366,976,21.668288,0,60.510099,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240481,1367,976,21.670233,0,60.509949,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240511,1369,976,21.674125,0,60.509327,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240541,1370,976,21.674125,0,60.509327,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240571,1372,976,21.688716,0,60.506628,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240602,1373,976,21.689689,0,60.506608,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240632,1375,976,21.697471,0,60.504974,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240662,1376,976,21.701362,0,60.504221,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240692,1378,976,21.707198,0,60.503075,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240722,1387,976,21.776265,0,60.649427,8.000000,16.000000,83.550000,170.100000,323.720000,963.153000
1651240752,1394,7022,34.474708,0,283.413740,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651240782,1396,7022,34.487354,0,283.412892,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651240812,1397,7022,34.487354,0,283.412892,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651240842,1399,7022,34.514591,0,283.410758,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651240872,1400,7022,34.520428,0,283.410129,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651240902,1402,7022,34.545720,0,283.407855,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651240932,1403,7022,34.558366,0,283.406781,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651240962,1405,7022,34.576848,0,283.405055,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651240992,1406,7022,34.573930,0,283.405262,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241022,1408,7022,34.580739,0,283.404587,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241052,1409,7022,34.590467,0,283.403742,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241082,1411,7022,34.589494,0,283.403829,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241112,1412,7022,34.578794,0,283.404588,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241142,1414,7022,34.593385,0,283.403398,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241172,1415,7022,34.591440,0,283.403574,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241202,1417,7022,34.599222,0,283.403145,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241232,1418,7022,34.594358,0,283.403576,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241262,1420,7022,34.610895,0,283.402333,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241292,1421,7022,34.620623,0,283.401453,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241322,1423,7022,34.617704,0,283.401571,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241352,1424,7022,34.621595,0,283.401274,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241382,1426,7022,34.624514,0,283.400984,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241412,1427,7022,34.624514,0,283.400984,8.000000,16.000000,85.000000,212.180000,439.300000,6976.644000
1651241442,1429,7022,34.119650,0,282.974254,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241472,1430,7022,34.120623,0,282.974156,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241502,1432,7022,34.124514,0,282.973769,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241532,1433,7022,34.124514,0,282.973769,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241562,1435,7022,34.121595,0,282.973930,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241592,1436,7022,34.130350,0,282.973106,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241622,1438,7022,34.140078,0,282.972275,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241652,1439,7022,34.140078,0,282.972275,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241682,1441,7022,34.139105,0,282.972370,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241712,1442,7022,34.145914,0,282.971873,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241742,1444,7022,34.099222,0,282.970899,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241772,1445,7022,34.084630,0,282.971858,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241802,1447,7022,34.087549,0,282.971625,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241832,1448,7022,34.080739,0,282.972193,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241862,1450,7022,34.083658,0,282.971898,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241892,1451,7022,34.083658,0,282.971898,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241922,1453,7022,34.076848,0,282.972549,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241952,1454,7022,34.082685,0,282.972031,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651241982,1456,7022,34.091440,0,282.971455,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651242012,1457,7022,34.088521,0,282.971709,8.000000,16.000000,84.550000,197.100000,410.170000,6976.644000
1651242042,1459,7022,33.971790,0,282.952128,8.000000,16.000000,84.000000,197.100000,410.170000,6976.644000
